point_code,x,y,recorder_code,card_code
loca_rail_01,563333.46,4604220.705,M12-3011,MSD-2774
loca_rail_02,563365.9616,4604221.613,M12-2861,MSD-3481
loca_rail_03,563407.364,4604224.631,M12-2863,MSD-3754
loca_rail_04,563449.4231,4604228.799,M12-2785,MSD-3849
loca_rail_05,563491.2496,4604230.978,M12-2992,MSD-2545
loca_rail_06,563306.6325,4604190.712,M12-2895,MSD-0260
loca_rail_07,563346.3504,4604195.714,M12-2807,MSD-0995
loca_rail_08,563389.5585,4604201.946,M12-2910,MSD-2821
loca_rail_09,563432.7898,4604196.087,M12-3061,MSD-3645
loca_rail_10,563470.3787,4604196.741,M12-2899,MSD-3745
loca_rail_11,563512.8848,4604197.493,M12-2971,MSD-2799
loca_rail_12,563291.4046,4604149.775,M12-2958,MSD-2723
loca_rail_13,563329.3305,4604150.053,M12-2946,MSD-3824
loca_rail_14,563365.8189,4604152.639,M12-2896,MSD-3682
loca_rail_15,563411.4384,4604150.121,M12-2843,MSD-3632
loca_rail_16,563447.2431,4604154.611,M12-2950,MSD-3608
loca_rail_17,563490.4722,4604158.49,M12-2975,MSD-2649
loca_rail_18,563270.3411,4604118.345,M12-2809,MSD-1166
loca_rail_19,563310.9339,4604118.702,M12-2990,MSD-0843
loca_rail_20,563352.7756,4604119.237,M12-3057,MSD-3651
loca_rail_21,563393.3686,4604119.573,M12-3050,MSD-3737
loca_rail_22,563433.8468,4604123.471,M12-2923,MSD-3456
loca_rail_23,563477.0106,4604125.329,M12-2969,MSD-0923
loca_rail_24,563254.8232,4604081.913,M12-2870,MSD-2501
loca_rail_25,563292.9366,4604079.861,M12-2954,MSD-3513
loca_rail_26,563332.6792,4604082.132,M12-2875,MSD-2861
loca_rail_27,563374.6811,4604083.423,M12-3006,MSD-3684
loca_rail_28,563413.4121,4604086.973,M12-2510,MSD-2511
loca_rail_29,563456.2672,4604086.041,M12-2509,MSD-3579
loca_rail_30,563313.0679,4604046.718,M12-2856,MSD-2809
loca_rail_31,563356.8191,4604048.169,M12-2991,MSD-1197
loca_rail_32,563395.9683,4604051.578,M12-2849,MSD-2717
loca_rail_33,563438.6245,4604054.319,M12-2965,MSD-3593
loca_rail_34,563528.1577,4604233.191,M12-2996,MSD-1331
loca_rail_35,563279.3095,4604046.432,M12-2771,MSD-3792
loca_rail_36,563239.4573,4604047.125,M12-2902,MSD-2776